County Name,Observation Count,Arithmetic Mean,Arithmetic Standard Dev
El Dorado,103,9.7e-05,0.00065
El Dorado,103,0.014049,0.029187
El Dorado,103,0.117524,0.14387
El Dorado,103,0.866699,0.771504
El Dorado,103,0.114757,0.129387
El Dorado,103,0.030689,0.067572
El Dorado,103,0.159709,0.164416
El Dorado,103,0.326068,0.283709
El Dorado,103,0.17768,0.157552
El Dorado,103,0.172126,0.132161
El Dorado,103,0.229282,0.20962
El Dorado,103,0.057942,0.04032
El Dorado,103,0.0,0.0
El Dorado,103,0.004843,0.013602
El Dorado,103,0.561538,0.420474
El Dorado,103,0.151545,0.185652
El Dorado,103,0.394578,0.44965
El Dorado,103,1.559213,1.389121
El Dorado,103,0.362058,0.272886
El Dorado,103,2.946602,2.094662
Fresno,8557,10.570959,9.872759
Fresno,118,0.002059,0.010755
Fresno,112,3.6e-05,0.000186
Fresno,118,8e-06,9.2e-05
Fresno,112,0.129473,0.134561
Fresno,118,0.07578,0.06115
Fresno,118,0.009585,0.0209
Fresno,112,0.003884,0.005333
Fresno,118,0.001364,0.002735
Fresno,118,0.000237,0.007028
Fresno,112,0.079089,0.069125
Fresno,118,0.046534,0.024385
Fresno,112,0.000634,0.001395
Fresno,117,0.001726,0.00307
Fresno,117,0.0,0.000857
Fresno,112,0.004955,0.006716
Fresno,117,0.001761,0.00427
Fresno,112,0.028714,0.058181
Fresno,118,0.019534,0.043893
Fresno,118,0.001,0.024116
Fresno,118,0.000136,0.012877
Fresno,112,0.158036,0.133312
Fresno,117,0.098171,0.054375
Fresno,112,0.001179,0.001187
Fresno,118,0.001483,0.004383
Fresno,118,0.001475,0.0086
Fresno,112,0.003161,0.002769
Fresno,118,0.002093,0.002663
Fresno,112,0.000179,0.000604
Fresno,117,0.000701,0.001139
Fresno,112,0.048071,0.041606
Fresno,118,0.029924,0.043028
Fresno,112,0.003616,0.00374
Fresno,118,0.001644,0.002812
Fresno,112,9.8e-05,0.000299
Fresno,118,0.000127,0.001522
Fresno,118,0.00239,0.008315
Fresno,112,0.01258,0.010955
Fresno,118,0.007229,0.005163
Fresno,112,1.8e-05,0.000133
Fresno,118,5.1e-05,0.000221
Fresno,112,0.339438,0.346791
Fresno,118,0.178975,0.128377
Fresno,118,0.000161,0.007257
Fresno,112,0.009214,0.008898
